epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,1.155646,0.521651,0.521647,0.147652,0.374000,0.561811,0.481483,02:27
1,0.595949,0.398198,0.759312,0.092067,0.306130,0.692597,0.826027,02:25
2,0.409973,0.355473,0.640062,0.093239,0.262235,0.705631,0.574492,02:21
3,0.344987,0.286968,0.739354,0.067148,0.219820,0.727158,0.751550,02:14
4,0.299745,0.265214,0.761185,0.066263,0.198950,0.655376,0.866994,02:13
5,0.258700,0.248888,0.745179,0.060897,0.187991,0.775892,0.714467,02:13
6,0.229757,0.180315,0.830587,0.043152,0.137164,0.770833,0.890341,02:14
7,0.205996,0.216511,0.811505,0.051823,0.164688,0.802636,0.820373,02:16
8,0.182287,0.169992,0.843382,0.040320,0.129672,0.829682,0.857082,02:15
9,0.171018,0.166988,0.843602,0.037104,0.129884,0.841342,0.845862,02:16
