epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,0.418883,0.340149,0.702320,0.105051,0.235099,0.574223,0.830416,36:09
1,0.227736,0.374838,0.725672,0.120835,0.254002,0.651479,0.799865,21:33
2,0.208573,0.245504,0.803336,0.075801,0.169704,0.751050,0.855623,14:23
3,0.183700,0.253825,0.743103,0.070039,0.183786,0.628174,0.858033,14:26
4,0.159141,0.253713,0.699940,0.066184,0.187529,0.710647,0.689233,12:17
5,0.142234,0.223999,0.771496,0.058147,0.165852,0.774788,0.768204,10:54
6,0.134423,0.196436,0.832036,0.060056,0.136381,0.810905,0.853166,12:17
7,0.118680,0.174471,0.850851,0.052538,0.121933,0.788206,0.913496,12:10
8,0.106225,0.159375,0.866054,0.048906,0.110470,0.855852,0.876257,11:30
9,0.101183,0.159180,0.864113,0.047776,0.111404,0.830220,0.898007,11:14
