epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.265128,0.253427,0.633636,0.052843,0.200584,0.596836,0.712171,0.652456,0.513550,0.693168,04:10
1,0.214348,0.213861,0.690425,0.045503,0.168358,0.714080,0.774180,0.656764,0.529547,0.777553,04:08
2,0.187937,0.202263,0.704641,0.042011,0.160253,0.731380,0.776987,0.643985,0.559187,0.811668,04:06
epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.181931,0.219920,0.614860,0.044042,0.175878,0.718733,0.805774,0.640229,0.340737,0.568827,04:15
1,0.225397,0.263483,0.538441,0.053487,0.209996,0.658281,0.786136,0.534781,0.215639,0.497370,04:13
2,0.228911,0.340158,0.579730,0.063928,0.276230,0.627497,0.757363,0.540224,0.395018,0.578546,04:26
3,0.233300,0.265040,0.539108,0.061624,0.203415,0.725794,0.717511,0.632606,0.269579,0.350052,04:12
4,0.221522,0.268333,0.580731,0.059751,0.208581,0.706602,0.724900,0.624514,0.353493,0.494147,04:13
5,0.212702,0.267062,0.517755,0.052794,0.214268,0.738523,0.737109,0.486310,0.193967,0.432865,04:12
6,0.188006,0.244000,0.630105,0.050033,0.193968,0.740126,0.746248,0.605694,0.418745,0.639710,04:15
7,0.180449,0.221010,0.663732,0.046845,0.174164,0.740443,0.757535,0.645953,0.491597,0.683131,04:12
8,0.174207,0.215468,0.638854,0.044187,0.171281,0.739393,0.775624,0.634447,0.413280,0.631525,04:13
9,0.161510,0.212734,0.650565,0.045588,0.167146,0.756898,0.763342,0.645724,0.454929,0.631935,04:12
