epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,0.955560,0.795605,0.363228,0.255435,0.540170,0.348897,0.377558,24:01
1,0.417339,0.444080,0.641719,0.125012,0.319068,0.713621,0.569817,16:38
2,0.270499,0.355619,0.645047,0.094817,0.260802,0.722460,0.567635,13:22
3,0.218202,0.346559,0.711585,0.104103,0.242456,0.776393,0.646776,15:09
4,0.184865,0.312413,0.749894,0.101580,0.210833,0.675680,0.824109,15:58
5,0.166872,0.295905,0.675606,0.071996,0.223909,0.760074,0.591138,13:00
6,0.148678,0.213939,0.786812,0.062056,0.151883,0.752032,0.821592,13:37
7,0.138035,0.198977,0.824414,0.059325,0.139651,0.807787,0.841040,13:26
8,0.124335,0.189075,0.816977,0.055709,0.133366,0.831950,0.802005,12:34
9,0.118972,0.190297,0.816920,0.055984,0.134313,0.848881,0.784958,11:47
