epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.241756,0.243346,0.596730,0.049323,0.194024,0.694164,0.701902,0.724351,0.383387,0.479849,04:15
1,0.238255,0.231561,0.641319,0.048405,0.183156,0.687014,0.780654,0.596563,0.570966,0.571397,04:15
2,0.201154,0.207129,0.698336,0.042946,0.164183,0.724426,0.766397,0.645676,0.584132,0.771047,04:09
epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.204448,0.230467,0.625338,0.045146,0.185321,0.724562,0.734809,0.659354,0.343880,0.664087,04:22
1,0.231329,0.245195,0.583075,0.050368,0.194827,0.718864,0.697744,0.648819,0.532025,0.317922,04:15
2,0.564981,0.333416,0.601303,0.079834,0.253583,0.630095,0.683707,0.548339,0.492441,0.651934,04:19
3,0.283547,0.263412,0.644788,0.053790,0.209622,0.696695,0.705930,0.602249,0.576546,0.642518,04:13
4,0.239513,0.260774,0.583112,0.048921,0.211853,0.707952,0.632679,0.550325,0.487552,0.537052,04:14
5,0.220799,0.241618,0.600968,0.053958,0.187660,0.681662,0.683928,0.710432,0.444705,0.484115,04:12
6,0.209081,0.222906,0.709174,0.047599,0.175307,0.726261,0.751585,0.638336,0.641109,0.788577,04:12
7,0.190621,0.234525,0.584035,0.046088,0.188437,0.717197,0.791433,0.545858,0.307765,0.557925,04:12
8,0.182263,0.231647,0.589485,0.047438,0.184209,0.708225,0.752127,0.639080,0.396747,0.451246,04:14
9,0.175821,0.224166,0.600920,0.044436,0.179730,0.726856,0.776006,0.636785,0.396397,0.468555,04:14
