epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,0.402931,0.354683,0.685472,0.117283,0.237400,0.556043,0.814901,16:47
1,0.215110,0.263881,0.771325,0.076885,0.186996,0.679981,0.862669,11:50
2,0.197953,0.246239,0.778853,0.073524,0.172714,0.702371,0.855335,11:35
3,0.173702,0.233418,0.804406,0.068156,0.165262,0.793675,0.815137,10:25
4,0.158172,0.252723,0.763854,0.065654,0.187069,0.816311,0.711396,10:39
5,0.142645,0.227772,0.694937,0.056788,0.170984,0.503559,0.886316,12:22
6,0.129088,0.184320,0.802139,0.052565,0.131755,0.697423,0.906855,12:35
7,0.114488,0.183087,0.847745,0.055406,0.127681,0.846619,0.848871,10:58
8,0.107889,0.165982,0.855700,0.049146,0.116836,0.798446,0.912954,12:03
9,0.103553,0.153854,0.864903,0.046002,0.107853,0.817029,0.912777,11:12
