epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.262498,0.233650,0.685196,0.047361,0.186289,0.717033,0.743631,0.598207,0.560408,0.806701,04:20
1,0.236303,0.217423,0.667588,0.042048,0.175375,0.694665,0.703852,0.708242,0.577561,0.653622,04:14
2,0.216056,0.199654,0.701274,0.041317,0.158337,0.731838,0.744370,0.712569,0.524047,0.793545,04:13
epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.216792,0.205371,0.697879,0.043908,0.161463,0.732803,0.754901,0.734024,0.478600,0.789070,04:18
1,0.233601,0.257370,0.646162,0.057835,0.199535,0.700773,0.608592,0.764383,0.509553,0.647510,04:19
2,0.258384,0.269622,0.554676,0.057676,0.211946,0.639812,0.782439,0.724964,0.285198,0.340969,04:23
3,0.240298,0.256594,0.607392,0.055230,0.201364,0.654616,0.670476,0.521142,0.439021,0.751707,04:19
4,0.234586,0.240159,0.652144,0.046857,0.193302,0.660864,0.749725,0.530886,0.460482,0.858764,04:20
5,0.225128,0.228542,0.660144,0.048870,0.179672,0.725948,0.729509,0.679470,0.542802,0.622990,04:18
6,0.216714,0.238450,0.580791,0.048391,0.190059,0.703423,0.720034,0.668457,0.411620,0.400423,04:17
7,0.194794,0.226212,0.646526,0.046490,0.179722,0.719111,0.701336,0.663147,0.561016,0.588020,04:15
8,0.191167,0.215000,0.616546,0.041852,0.173148,0.726142,0.718710,0.660408,0.445038,0.532431,04:15
9,0.187019,0.216434,0.616921,0.042961,0.173473,0.737893,0.711305,0.674401,0.430364,0.530641,04:16
