epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,3.484459,3.391815,0,0.527846,2.863969,0,0,01:16
1,3.415436,2.890251,0,0.528614,2.361637,0,0,01:10
2,3.190620,46.160290,0.059551,0.591302,45.568985,0.000146,0.118957,03:31
3,14.540322,3.125163,0,0.521333,2.603830,0,0,01:11
4,12.152857,3.591969,0,0.466027,3.125941,0,0,01:11
5,10.648958,3.790360,0,0.548372,3.241988,0,0,01:11
6,9.609342,3.687879,0,0.465717,3.222162,0,0,01:11
7,8.813375,3.636729,0,0.465446,3.171284,0,0,01:11
8,8.191382,3.600562,0,0.471566,3.128996,0,0,01:11
9,7.692463,3.591556,0,0.476207,3.115349,0,0,01:10
