epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,2.337424,1.847690,0.021011,0.433197,1.414494,0.007384,0.034638,01:19
1,1.628954,0.763114,0.475154,0.207401,0.555713,0.391160,0.559149,02:09
2,1.158067,0.570404,0.594858,0.164192,0.406212,0.572459,0.617258,02:09
3,0.879668,0.391305,0.593950,0.105494,0.285812,0.413131,0.774769,02:02
4,0.700266,0.328126,0.719448,0.092913,0.235213,0.736563,0.702334,01:52
5,0.583997,0.338976,0.713343,0.087622,0.251354,0.771306,0.655380,01:59
6,0.501026,0.363299,0.685965,0.071019,0.292280,0.682023,0.689908,01:47
7,0.437688,0.252049,0.803994,0.074758,0.177292,0.745609,0.862380,01:50
8,0.385914,0.253166,0.752928,0.057982,0.195184,0.778273,0.727583,01:54
9,0.346441,0.244955,0.767199,0.058123,0.186831,0.793063,0.741335,01:52
