epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,3.409064,3.161540,0,0.492618,2.668921,0,0,01:11
1,2.959518,33.227489,0.076150,0.517722,32.709770,0.002125,0.150176,02:59
2,14.703199,3.506280,0,0.526649,2.979631,0,0,01:12
3,11.760337,3.957807,0,0.471020,3.486786,0,0,01:11
4,10.032831,3.943631,0,0.540314,3.403316,0,0,01:11
5,8.868503,3.757635,0,0.522594,3.235041,0,0,01:11
6,8.022335,3.607635,0,0.486071,3.121563,0,0,01:11
7,7.376117,3.531893,0,0.469236,3.062658,0,0,01:11
8,6.871333,3.497686,0,0.466179,3.031507,0,0,01:11
9,6.466387,3.484296,0,0.464295,3.020001,0,0,01:11
