epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,0.239563,0.332720,0.763109,0.097384,0.235337,0.712468,0.813749,18:45
1,0.182895,0.305642,0.715805,0.083199,0.222442,0.758807,0.672804,15:11
2,0.173942,0.259339,0.725754,0.070519,0.188820,0.794160,0.657348,13:31
3,0.156223,0.353468,0.683941,0.079613,0.273855,0.765988,0.601895,17:16
4,0.140794,0.210265,0.802019,0.061188,0.149077,0.847231,0.756807,15:04
5,0.121817,0.217316,0.813119,0.061974,0.155342,0.798118,0.828120,16:47
6,0.111538,0.196510,0.826371,0.059444,0.137067,0.775499,0.877243,14:18
7,0.098860,0.196860,0.796558,0.052305,0.144555,0.852801,0.740314,14:36
8,0.093892,0.165317,0.842729,0.048736,0.116581,0.840823,0.844635,14:44
9,0.087424,0.166819,0.840734,0.047913,0.118906,0.857875,0.823592,14:50
