epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,3.209511,2.030068,0.036548,0.509638,1.520429,0.000000,0.073097,01:12
1,5.621453,3.293698,0,0.455273,2.838424,0,0,01:12
2,4.858790,3.394312,0,0.441407,2.952906,0,0,01:12
3,4.285539,1.840104,0.058263,0.551531,1.288573,0.073779,0.042747,02:22
4,3.638297,1.391331,0.051151,0.310081,1.081250,0.011001,0.091301,01:49
5,3.165389,1.636319,0.121218,0.279988,1.356330,0.000130,0.242307,02:51
6,2.779474,0.839984,0.178517,0.248955,0.591029,0.000032,0.357002,01:46
7,2.487586,0.809293,0.242911,0.225901,0.583393,0.114746,0.371075,01:42
8,2.251009,0.747654,0.257715,0.210093,0.537561,0.337919,0.177510,01:59
9,2.045704,0.747047,0.246248,0.205222,0.541825,0.360155,0.132342,02:02
