epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,3.528717,1.288270,0.097543,0.430164,0.858106,0.007050,0.188037,02:21
1,2.800616,22.181129,0.137718,0.441860,21.739265,0.000000,0.275436,03:19
2,3.012202,4.816556,0.122869,0.300482,4.516074,0.245738,0.000000,03:03
3,2.471460,1.159286,0.217899,0.355758,0.803528,0.398523,0.037275,02:02
4,2.043523,0.811355,0.395510,0.159671,0.651684,0.435090,0.355930,02:12
5,1.712880,0.560256,0.451216,0.137377,0.422880,0.512996,0.389436,01:56
6,1.457458,0.476265,0.501131,0.115040,0.361225,0.508039,0.494223,01:52
7,1.263974,0.467606,0.512075,0.116434,0.351171,0.408101,0.616048,01:51
8,1.107921,0.437188,0.530523,0.096432,0.340756,0.456646,0.604400,01:51
9,0.986314,0.444268,0.522243,0.094078,0.350190,0.454809,0.589676,01:52
