epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,1.717799,1.076695,0.307618,0.263531,0.813163,0.239880,0.375356,01:46
1,0.999240,0.702083,0.646532,0.187921,0.514161,0.625128,0.667935,02:31
2,0.664674,0.405354,0.700391,0.125869,0.279484,0.761754,0.639028,01:59
3,0.536249,0.323615,0.776251,0.096218,0.227398,0.715686,0.836816,02:06
4,0.420757,0.322275,0.735405,0.076906,0.245369,0.741410,0.729399,01:57
5,0.356200,0.235501,0.802384,0.059278,0.176223,0.780480,0.824289,02:04
6,0.308621,0.275805,0.781793,0.067336,0.208469,0.780131,0.783455,01:57
7,0.266485,0.248014,0.736922,0.050404,0.197609,0.788337,0.685508,02:02
8,0.243896,0.207001,0.812382,0.045553,0.161448,0.811604,0.813161,02:04
9,0.225199,0.196437,0.802441,0.046024,0.150413,0.808797,0.796086,02:00
