epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,0.546438,0.455300,0.601595,0.144040,0.311259,0.398039,0.805150,19:27
1,0.332942,0.327924,0.718893,0.091014,0.236910,0.588553,0.849234,18:00
2,0.327047,0.264986,0.820093,0.094737,0.170250,0.808821,0.831364,15:53
3,0.256386,0.425017,0.604097,0.085642,0.339375,0.583072,0.625123,25:18
4,0.226383,0.237752,0.823297,0.067620,0.170133,0.851637,0.794956,11:49
5,0.218022,0.221596,0.852587,0.078289,0.143307,0.848511,0.856663,13:34
6,0.186605,0.174102,0.890507,0.056264,0.117838,0.890480,0.890534,12:44
7,0.164812,0.161155,0.905447,0.050440,0.110714,0.897438,0.913456,13:06
8,0.152129,0.157682,0.896363,0.049358,0.108324,0.878563,0.914162,13:08
9,0.145458,0.155727,0.903903,0.047606,0.108121,0.890507,0.917298,12:39
