epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,0.404854,0.365504,0.703960,0.116902,0.248601,0.654946,0.752973,14:50
1,0.234660,0.343693,0.544826,0.094614,0.249079,0.298647,0.791006,14:48
2,0.214897,0.245038,0.790582,0.075870,0.169168,0.713718,0.867446,12:50
3,0.190865,0.237366,0.790852,0.066774,0.170592,0.794639,0.787064,12:42
4,0.171890,0.214612,0.815405,0.063389,0.151222,0.796599,0.834210,10:11
5,0.151610,0.198847,0.828651,0.055781,0.143066,0.813579,0.843723,11:51
6,0.141238,0.191276,0.841896,0.059114,0.132161,0.792552,0.891240,11:10
7,0.121470,0.172065,0.853058,0.051840,0.120225,0.845095,0.861022,12:09
8,0.112914,0.162473,0.854183,0.047769,0.114703,0.799976,0.908389,11:17
9,0.110765,0.157243,0.861657,0.046592,0.110651,0.855948,0.867366,11:33
