epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,0.403300,0.346103,0.716298,0.113594,0.232508,0.635716,0.796880,15:07
1,0.221367,0.470613,0.471276,0.080233,0.390380,0.119449,0.823104,15:16
2,0.203929,0.436110,0.545720,0.104230,0.331880,0.672200,0.419240,13:58
3,0.181709,0.274188,0.792185,0.088068,0.186120,0.810007,0.774362,13:03
4,0.168022,0.475402,0.329819,0.066607,0.408796,0.606093,0.053545,13:51
5,0.141762,0.258116,0.762684,0.060814,0.197302,0.833259,0.692108,13:10
6,0.130179,0.198207,0.839980,0.056733,0.141474,0.826773,0.853187,12:04
7,0.117133,0.168449,0.860820,0.051089,0.117361,0.824384,0.897257,10:36
8,0.104303,0.154177,0.864843,0.047550,0.106627,0.831785,0.897901,10:37
9,0.101098,0.152862,0.870300,0.045648,0.107215,0.838777,0.901822,10:02
