epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.252718,0.249539,0.572528,0.053852,0.195688,0.655891,0.751636,0.575955,0.483228,0.395932,04:08
1,0.228166,0.217327,0.670671,0.046582,0.170745,0.709149,0.793534,0.606203,0.486511,0.757957,04:10
2,0.205952,0.203828,0.672745,0.044423,0.159405,0.701187,0.787247,0.667925,0.508366,0.699000,04:08
epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,AP-2,AP-3,AP-4,time
0,0.200703,0.227684,0.636916,0.046824,0.180860,0.703357,0.767995,0.539334,0.449759,0.724134,04:14
1,0.219111,0.251707,0.573077,0.049510,0.202197,0.661619,0.619287,0.703576,0.540465,0.340440,04:09
2,0.224587,0.274576,0.657908,0.062443,0.212133,0.655826,0.704488,0.696784,0.494985,0.737459,04:18
3,0.232094,0.247484,0.645791,0.053421,0.194064,0.652096,0.759364,0.633146,0.396592,0.787758,04:09
4,0.219454,0.231867,0.568138,0.054820,0.177047,0.685706,0.774822,0.671554,0.240095,0.468515,04:12
5,0.209427,0.227953,0.656894,0.049172,0.178781,0.676332,0.733119,0.649740,0.560471,0.664807,04:14
6,0.197094,0.225635,0.601224,0.048772,0.176863,0.740421,0.786163,0.637745,0.377072,0.464716,04:14
7,0.183340,0.224124,0.586088,0.045509,0.178615,0.729784,0.778471,0.605246,0.296184,0.520756,04:15
8,0.172870,0.221042,0.589275,0.045016,0.176026,0.741486,0.758958,0.593929,0.328452,0.523551,04:13
9,0.170356,0.213009,0.610510,0.045209,0.167800,0.749348,0.777538,0.652740,0.351624,0.521299,04:12
