epoch,train_loss,valid_loss,pascal_voc_metric_by_distance,BBloss,focal_loss,AP-0,AP-1,time
0,1.037671,0.705253,0.305645,0.249476,0.455776,0.132822,0.478467,36:22
1,0.483573,0.342716,0.780899,0.108458,0.234259,0.761177,0.800620,27:29
2,0.308992,0.256168,0.838795,0.091368,0.164800,0.812330,0.865260,17:30
3,0.234983,0.315253,0.812828,0.100663,0.214590,0.881040,0.744616,19:48
4,0.214820,0.225321,0.867465,0.069662,0.155659,0.846263,0.888667,25:16
5,0.183754,0.184110,0.889181,0.063008,0.121101,0.897410,0.880953,18:07
6,0.162088,0.190689,0.893961,0.062287,0.128402,0.889346,0.898576,18:16
7,0.139182,0.155588,0.905028,0.055503,0.100086,0.909622,0.900435,12:44
8,0.133813,0.148977,0.922970,0.053301,0.095676,0.921080,0.924861,12:22
9,0.122571,0.146927,0.918579,0.053845,0.093082,0.920083,0.917075,12:30
